"vaccine","var","char","coef","hr","ci_low","ci_upp"
"BCG","Sex at birth","Male",NA,"1","1","1"
"BCG","Sex at birth","Female","0.0036451973521305","1.00365184916393","0.992453051900806","1.01497701317045"
"BCG","Urban/Rural","Urban",NA,"1","1","1"
"BCG","Urban/Rural","Rural","-0.111936417796728","0.894101104611285","0.880658720422117","0.90774867349743"
"BCG","Wealth Quintile","Poorest",NA,"1","1","1"
"BCG","Wealth Quintile","Poor","0.182859885659561","1.20064616854871","1.18055989404632","1.22107419481264"
"BCG","Wealth Quintile","Middle","0.270528068172715","1.31065638394494","1.2874002992587","1.33433257531847"
"BCG","Wealth Quintile","Rich","0.347373811991791","1.41534569969087","1.38733011068364","1.44392703236745"
"BCG","Wealth Quintile","Richest","0.41812841440391","1.51911573821946","1.48317114649123","1.55593144564973"
"BCG","Mother's Education","None",NA,"1","1","1"
"BCG","Mother's Education","Primary","0.305209624815229","1.35690941508069","1.33359742366346","1.380628912492"
"BCG","Mother's Education","Secondary","0.450099324933289","1.56846796572967","1.5395358151367","1.59794383172679"
"BCG","Mother's Education","Higher","0.481689804614596","1.61880756077688","1.57455008543578","1.66430902584031"
"BCG","Mother's Marital Status","Not married",NA,"1","1","1"
"BCG","Mother's Marital Status","Married/Living together","-0.106029148144592","0.899398431898311","0.751086664587261","1.07699627411926"
"BCG","Mother's Marital Status","Widowed/Divorced/Not living together","-0.142728213056567","0.866989673350239","0.721941368865469","1.04118024830355"
"BCG","Husband's Occupation","No work",NA,"1","1","1"
"BCG","Husband's Occupation","Prof/Manager/Clerical/Sales","0.253898585691131","1.28904107042951","1.24683236961346","1.33267865171739"
"BCG","Husband's Occupation","Agricultural","0.152085165489309","1.16425938693032","1.1272347224267","1.20250014756222"
"BCG","Husband's Occupation","Household","0.302933906272961","1.35382498214638","1.30719880337741","1.40211425955114"
"BCG","Husband's Occupation","Manual","0.274516598074947","1.31589441520196","1.2737724209268","1.35940932894419"
"DTP-D1","Sex at birth","Male",NA,"1","1","1"
"DTP-D1","Sex at birth","Female","-0.00607066615023636","0.993947723113007","0.982407955616434","1.00562304146003"
"DTP-D1","Urban/Rural","Urban",NA,"1","1","1"
"DTP-D1","Urban/Rural","Rural","-0.0583956366757143","0.943276678752816","0.928623226734417","0.958161358733078"
"DTP-D1","Wealth Quintile","Poorest",NA,"1","1","1"
"DTP-D1","Wealth Quintile","Poor","0.13557357757017","1.14519345328634","1.12527745791363","1.16546193672222"
"DTP-D1","Wealth Quintile","Middle","0.222028447136849","1.24860689665034","1.22561777089145","1.27202723344068"
"DTP-D1","Wealth Quintile","Rich","0.291846337806924","1.33889726394154","1.31141380187951","1.36695670033434"
"DTP-D1","Wealth Quintile","Richest","0.368534947354381","1.44561516017126","1.41011146146971","1.48201276879123"
"DTP-D1","Mother's Education","None",NA,"1","1","1"
"DTP-D1","Mother's Education","Primary","0.326043355413945","1.38547543543168","1.36108154790104","1.41030652068187"
"DTP-D1","Mother's Education","Secondary","0.489434456446133","1.63139333502972","1.6004947865159","1.66288839926374"
"DTP-D1","Mother's Education","Higher","0.557179183009897","1.7457411320767","1.69564199810315","1.79732048606585"
"DTP-D1","Mother's Marital Status","Not married",NA,"1","1","1"
"DTP-D1","Mother's Marital Status","Married/Living together","-0.199586582288436","0.819069300848307","0.683307416723895","0.981804826308823"
"DTP-D1","Mother's Marital Status","Widowed/Divorced/Not living together","-0.274083054849142","0.760268928617427","0.63227568766068","0.914172180112812"
"DTP-D1","Husband's Occupation","No work",NA,"1","1","1"
"DTP-D1","Husband's Occupation","Prof/Manager/Clerical/Sales","0.23963821196967","1.27078931078249","1.22768002313264","1.31541235661578"
"DTP-D1","Husband's Occupation","Agricultural","0.182520465460934","1.20023871414074","1.16076867470576","1.24105086768248"
"DTP-D1","Husband's Occupation","Household","0.274707413940582","1.31614553269172","1.26906110613965","1.36497687530088"
"DTP-D1","Husband's Occupation","Manual","0.262351253397759","1.29998308571938","1.25682927459244","1.34461860279671"
"DTP-D2","Sex at birth","Male",NA,"1","1","1"
"DTP-D2","Sex at birth","Female","-0.00288285916805028","0.997121292280136","0.985556318502805","1.00882197480993"
"DTP-D2","Urban/Rural","Urban",NA,"1","1","1"
"DTP-D2","Urban/Rural","Rural","-0.0265645527721163","0.973785181273684","0.958669127417533","0.989139581267878"
"DTP-D2","Wealth Quintile","Poorest",NA,"1","1","1"
"DTP-D2","Wealth Quintile","Poor","0.141274442142018","1.15174069079726","1.13169159498267","1.17214497723513"
"DTP-D2","Wealth Quintile","Middle","0.222421183935996","1.24909736683286","1.22607767332531","1.27254925668548"
"DTP-D2","Wealth Quintile","Rich","0.290122506058506","1.33659121851829","1.30918551669944","1.36457061480794"
"DTP-D2","Wealth Quintile","Richest","0.383578881616613","1.4675273088097","1.4316148305295","1.50434066214982"
"DTP-D2","Mother's Education","None",NA,"1","1","1"
"DTP-D2","Mother's Education","Primary","0.314336633750177","1.36935062860453","1.34522156212264","1.3939124950546"
"DTP-D2","Mother's Education","Secondary","0.492944277472458","1.63712929386531","1.60619676230223","1.66865753171504"
"DTP-D2","Mother's Education","Higher","0.587160056050442","1.79887245736797","1.74764249020245","1.85160416733872"
"DTP-D2","Mother's Marital Status","Not married",NA,"1","1","1"
"DTP-D2","Mother's Marital Status","Married/Living together","-0.0641347106214614","0.937878648804892","0.78009278234693","1.12757915441512"
"DTP-D2","Mother's Marital Status","Widowed/Divorced/Not living together","-0.185364798319139","0.830801153700394","0.688952965000697","1.00185439653229"
"DTP-D2","Husband's Occupation","No work",NA,"1","1","1"
"DTP-D2","Husband's Occupation","Prof/Manager/Clerical/Sales","0.248059294262835","1.28153591766878","1.23751772356281","1.32711982786549"
